scode,sname,sclx,enddate,forecastl,forecastt,increasel,increaset,forecastcontent,changereasondscrpt,forecasttype,yearearlier,ndate,hymc,zfpx,jlrpx,forecast,IsLatest
002910,庄园牧场,深交所中小板,2018-06-30T00:00:00,23741500,27741500,-37.09,-26.5,"预计2018年1-6月归属于上市公司股东的净利润盈利2,374.15万元-2,774.15万元,同比下降26.5%至37.09%","公司2018年上半年度较上年同期业绩同向下降,比上年同期同向下降26.50%~37.09%,原因主要是由于在2018年4月20日披露《2018年第一季度报告》时,未能预计到公司2018年上半年政府补助较上年同期的变化。按照财政部、国家民族事务委员会、中国人民银行关于印发《民族贸易和民族特需商品生产贷款贴息管理暂行办法》的通知(财金【2012】139号),符合条件的民族特需商品生产贷款可以享受优惠利率政策。本公司是被财政部、国家民族事务委员会、中国人民银行“十二五”期间确定的全国少数民族特需商品定点生产企业,按照《民族贸易和民族特需商品生产贷款贴息管理暂行办法》的规定,经本公司注册地所在的地方民族工作部门兰州市民族宗教事务委员会审核,本公司符合条件的贷款可以享受2.88%的贴息优惠,该等贴息由当地政府直接补贴给本公司,2017年上半年本公司收到该政策性优惠贷款贴息8,602,400.00元。2018年上半年,公司尚未收到上述政策贴息。计入损益的有关上述政策性贴息及其他政府性补助较2017年上半年有较大幅度的下降,导致公司2018年上半年度较上年同期的业绩影响为同向下降。",略减,37741500.0,2018-08-14T00:00:00,食品饮料,-31.795,25741500.0,reduction,T
300063,天龙集团,深交所创业板,2018-06-30T00:00:00,74650000,84000000,0,12.53,"预计2018年1-6月归属于上市公司股东的净利润盈利7,465万元-8,400万元,比上年同期增长0%-12.53%。","本次业绩修正主要是由于2018年上半年部分供应商增加了浮动返点政策,加大了公司对返点的预测难度,在披露业预告进行业绩预测时,公司本着审慎态度以较为保守的返点比例进行了盈利预测,而截至本公告出具之日,公司根据媒体初步考核结果进行了调整,从而导致最终确认的经营成果与预测存在偏差。公司董事会就2018年半年度业绩出现差异向广大投资者致以诚挚歉意。公司及全体董事、监事和高级管理人员将以此为戒,加强对《公司法》、《证券法》、《创业板股票上市规则》及《企业会计准则》等法律法规的学习和理解,加强对子公司的管理,规范公司运作,进一步提高信息披露质量,切实履行好信息披露的义务。",略增,74650000.0,2018-08-14T00:00:00,化工行业,6.265,79325000.0,increase,T
603706,东方环宇,上交所主板,2018-06-30T00:00:00,48500000,50000000,-3.15,-0.16,"预计2018年1-6月归属于上市公司股东的净利润为4,850万元至5,000万元,同比下降0.16%-3.15%。","(一)主营业务的影响2018年上半年,昌吉市人民政府收购昌吉市东热源热力有限公司与昌吉市城西热源热力有限公司的热源资产作为昌吉市应急调峰备用热源,导致公司热能销售业务下降。(二)会计处理的影响公司出于审慎原则考虑,于2017年12月对坏账计提政策进行了变更:将公司应收关联方款项组合与政府款项组合的坏账准备计提政策由不计提坏账准备变更为按账龄组合计提坏账准备,导致公司计提坏账准备金额增加。",略减,50080900.0,2018-08-11T00:00:00,公用事业,-1.655,49250000.0,reduction,T
601038,一拖股份,上交所主板,2018-06-30T00:00:00,-170000000,-140000000,-626.88,-533.9,"预计2018年1-6月归属于上市公司股东的净利润亏损:14,000万元-17,000万元。","(一)主营业务的影响。2018年上半年,受多重因素影响,拖拉机市场延续了去来以来的下滑态势,仍处于深度调整期。上半年行业骨干企业大中拖销量同比下降22.6%,公司大中拖产品销量同比下降13.4%。同时,公司主导产品所需的钢铁等原材料价格上涨,公司产品成本增加,导致上半年出现亏损。(二)会计政策变更的影响。2017年3月,财政部修订并发布了《企业会计准则第22号——金融工具确认和计量》(以下简称“金融工具准则”),并要求在境内外同时上市的企业,自2018年1月1日起施行上述会计准则。前期本公司对洛银金融租赁股份有限公司、洛阳银行股份有限公司的投资,均确认为可供出售金融资产进行核算。报告期内,本公司根据上述会计准则规定,对上述两项投资的业务模式等进行判断,将其全部划分为以公允价值计量且变动计入当期损益的金融资产进行核算。此项会计政策变更影响公司归属于上市公司股东的净利润增加约4700万元。",首亏,32265600.0,2018-08-11T00:00:00,机械行业,-580.39,-155000000.0,reduction,T
603996,中新科技,上交所主板,2018-06-30T00:00:00,25729900,25729900,80,80,"预计2018年1-6月归属于上市公司股东的净利润盈利2,572.99万元左右,同比增长80%左右。","本期业绩预增主要是公司主营业务增长的影响,主要原因如下:1.公司加强研发、生产和品质能力建设,国内外市场开拓情况良好,主营业务收入呈现持续较快增长态势,预计2018年半年度营业收入同比增长78.00%左右;研、产、销一体化快速扩张和发展,规模效应明显体现,行业地位不断提升。2.公司着力优化生产成本、严控费用支出、提高劳动生产率,降本增效措施进一步完善,产业发展质量不断提高,“量与质并进发展”明显体现。",预增,14294400.0,2018-08-10T00:00:00,电子元件,80.0,25729900.0,increase,T
002433,太安堂,深交所中小板,2018-06-30T00:00:00,68159500,85199400,-40,-25,"预计2018年1-6月归属于上市公司股东的净利润盈利6,815.95万元-8,519.94万元,同比下降25%-40%。","1、公司原预计于2018年4月份完成17.09亿元非公开发行股票的融资,降低公司有息负债金额,减少财务费用。但由于受股票二级市场持续低迷的影响,公司于2018年7月11日主动终止了非公开发行股票相关事宜,导致公司财务费用超过预期。2、公司加大了对子公司广东康爱多连锁药店有限公司(下称:“康爱多”)创新业务的投入。相较于前期投入,该创新业务利润的体现呈现一定的滞后。具体情况如下:康爱多2017年8月正式推出的E+零售药店赋能平台,定位为“产业路由器”,向上服务工业企业,向下为零售药店、诊所赋能。截至2018年4月,E+在青海、西藏、宁夏以外的29个省,236个市,1411个区县形成立体网络布局,覆盖医院药房、单体药店、诊所超过30,000家,2018年1-4月,E+平台销售额累计超过5,000万元。同时以今年4月份国务院办公厅发布的《关于促进“互联网+医疗健康”发展的意见》为政策契机,医药电商迎来了行业发展的新阶段。基于上述情况,公司对康爱多以E+药店为核心的多元化新零售服务及慢病管理创新业务加大了投入力度。3、公司子公司太安(亳州)置业有限公司健康产业产品原预计销售比去年同期将有较大幅度增长,但二季度以来银行银根收紧,导致亳州健康产业产品的销售进度未达预期。",略减,113599200.0,2018-08-08T00:00:00,医药制造,-32.5,76679450.0,reduction,T
600526,菲达环保,上交所主板,2018-06-30T00:00:00,10747500,14327500,-70,-60,"预计2018年1-6月归属于上市公司股东的净利润盈利:1074.75万元-1,432.75万元,同比减少60%-70%。","受金融货币政策从紧影响,公司本期融资成本较上年同期上升3,123.38万元。",预减,35827500.0,2018-08-07T00:00:00,专用设备,-65.0,12537500.0,reduction,T
832175,东方碳素,新三板,2018-06-30T00:00:00,25000000,26000000,104.23,112.4,"预计2018年1-6月归属于上市公司股东的净利润盈利25,00万元-26,00万元,同比上年增长104.23%-112.40%","1、公司下游客户,新能源、化工、电子冶金等新的应用领域不断拓展和兴起,带动了企业销售增长。2、公司不断加大产品研发投入,新技术及新产品的应用获得市场的认可,公司收入和获利能力持续改善。3、特种石墨行业供给侧改革促进了行业集中度的提高,市场向头部企业集聚。",预增,12241248.89,2018-08-06T00:00:00,-,108.315,25500000.0,increase,T
600689,上海三毛,上交所主板,2018-06-30T00:00:00,1614600,1614600,-95,-95,"预计2018年1-6月归属于上市公司股东的净利润盈利约161.46万元,同比减少95%左右。","(一)主营业务影响:报告期内,公司主营业务进出口贸易、安防服务、园区物业租赁等业务收益稳步增长,销售费用、管理费用支出得到有效控制。报告期内,公司扣除非经常性损益后的净利润同比减少亏损约700万元。(二)非经常性损益的影响:公司去年同期非流动资产处置损益约为5580万元,主要是出售安诚保险股权和处置部分土地使用权所致。本报告期内,公司非流动资产处置损益约为210万元,非流动资产处置收益同比减少约5370万元,是致本报告期业绩同比减少的主要原因。",预减,34534600.0,2018-08-04T00:00:00,纺织服装,-95.0,1614600.0,reduction,T
900922,三毛B股,上交所主板,2018-06-30T00:00:00,1614600,1614600,-95,-95,"预计2018年1-6月归属于上市公司股东的净利润盈利约161.46万元,同比减少95%左右。","(一)主营业务影响:报告期内,公司主营业务进出口贸易、安防服务、园区物业租赁等业务收益稳步增长,销售费用、管理费用支出得到有效控制。报告期内,公司扣除非经常性损益后的净利润同比减少亏损约700万元。(二)非经常性损益的影响:公司去年同期非流动资产处置损益约为5580万元,主要是出售安诚保险股权和处置部分土地使用权所致。本报告期内,公司非流动资产处置损益约为210万元,非流动资产处置收益同比减少约5370万元,是致本报告期业绩同比减少的主要原因。",预减,34534600.0,2018-08-04T00:00:00,纺织服装,-95.0,1614600.0,reduction,T
601088,中国神华,上交所主板,2018-06-30T00:00:00,23000000000,23000000000,-5.3,-5.3,"预计2018年1-6月归属于上市公司股东的净利润盈利:约2300000万元,同比减少5.3%。","(1)上半年本公司商品煤产量下降、外购煤量增加,煤炭分部利润下降;(2)少数股东权益占比较高的发电分部利润占比上升;(3)所得税费用有所增加。",略减,24315000000.0,2018-08-04T00:00:00,煤炭采选,-5.3,23000000000.0,reduction,T
600651,飞乐音响,上交所主板,2018-06-30T00:00:00,-400000000,-400000000,-453.33,-453.33,预计2018年1-6月归属于上市公司股东的净利润亏损40000万元左右,"(一)受国家PPP项目政策变化及市场流动性持续收紧的影响,2018年上半年公司原已实施项目进展放缓,同时公司大幅减少了工程项目的承接,营业收入与上年同期相比出现较大幅度的降低,毛利额相应下降。(二)经中国证券监督管理委员会于2017年4月17日出具的《关于核准上海华鑫股份有限公司向上海仪电(集团)有限公司等发行股份购买资产并募集配套资金的批复》(证监许可〔2017〕530号)核准,上海华鑫股份有限公司(以下简称“华鑫股份”)向公司发行134,012,096股股份购买本公司持有的华鑫证券有限责任公司24%股权。根据中国证券登记结算有限责任公司上海分公司于2017年5月3日出具的《证券变更登记证明》,华鑫股份向本公司发行的134,012,096股A股股份已登记至公司证券账户名下。通过此项股权置换,2017年公司确认投资收益(税前)4.62亿元。2018年1-6月份公司未发生重大股权转让或置换。(三)财务费用较上年同期大幅增加。由于汇率波动,2018年上半年度预计汇兑损失为0.28亿元,而2017年同期确认汇兑收益为0.41亿元;同时,为满足经营资金需求,2017年下半年借款有所增加导致2018年上半年度借款平均余额较上年同期出现较大增长,利息支出相应增加。",首亏,113210000.0,2018-08-03T00:00:00,电子元件,-453.33,-400000000.0,reduction,T
831445,龙泰家居,新三板,2018-06-30T00:00:00,21000000,22000000,155.77,167.95,"预计2018年1-6月归属于上市公司股东的净利润盈利2100万元-2200万元,同比增长155.77%-167.95%。","本报告期内,公司业务订单量充足,公司去年底投入使用的新厂房达到满产,很大程度上提升了公司的产、销量,使得公司在本报告期内取得了良好的经营业绩,净利润较上年同期有较大幅度的增长。",预增,8210500.0,2018-08-03T00:00:00,-,161.86,21500000.0,increase,T
601069,西部黄金,上交所主板,2018-06-30T00:00:00,-16000000,-13000000,-117.28,-114.04,"预计2018年1-6月归属于上市公司股东的净利润亏损1,300万元-1,600万元。","公司本次业绩预亏主要原因是公司上半年所属子公司主要矿山停产时间较长,导致2018年上半年的黄金产品产销量较上年同期大幅下降,造成2018年半年度归属于上市公司股东净利润发生亏损。",首亏,92612400.0,2018-08-03T00:00:00,贵金属,-115.66,-14500000.0,reduction,T
300111,向日葵,深交所创业板,2018-06-30T00:00:00,-195000000,-190000000,-2082.33,-2031.5,预计2018年1-6月归属于上市公司股东的净利润亏损19000万元-19500万元。,"公司在2018年7月12日对2018年半年度业绩预估时,银信资产评估有限公司尚未完成对浙江优创光能科技有限公司(以下简称“优创光能”)资产的评估,公司财务人员未对相关资产减值等作相应预测。银信资产评估有限公司于2018年7月25日结束评估工作,并出具《浙江向日葵光能科技股份有限公司拟股权转让涉及的浙江优创光能科技有限公司股东全部权益价值评估项目资产评估报告》(银信评报字(2018)沪第1072号),公司财务部对优创光能财务数据进行修正,主要涉及预计需补提固定资产减值准备4,990.07万元,原辅材料存货跌价准备553.36万元,预计员工遣散福利450.44万元。",首亏,9836900.0,2018-08-03T00:00:00,输配电气,-2056.915,-192500000.0,reduction,T
600803,新奥股份,上交所主板,2018-06-30T00:00:00,696750000,732660000,603,639,"预计2018年1-6月归属于上市公司股东的净利润盈利69,675万元-73,266万元,同比增长603%-639%。","(一)主营业务影响2018年上半年甲醇、农药、LNG产品价格较2017年同期均有不同程度增长,带动了公司相应板块的收入增长;公司甲醇产量和能源工程业务量较2017年同期有所增长,受上述因素影响,公司2018年上半年主营业务经营利润较2017年同期有一定幅度增长。(二)投资收益影响公司持有澳大利亚上市公司Santos10.07%的股权,公司将所持Santos股权计入长期股权投资并按权益法核算。Santos上年同期计提减值损失税前为9.2亿美元,税后为6.89亿美元,最终导致Santos2017年上半年净利润为-5.06亿美元(数据源自Santos于2017年8月24日在澳交所网站披露的《Santos2017年半年度报告》)。公司按照持有Santos10.07%的股权比例计算,2017年上半年公司对Santos的投资收益为-0.51亿美元,按照2017年上半年美元兑人民币汇率6.8709,折合人民币金额为-35,010万元,最终导致公司2017年上半年度归属于母公司所有者的净利润减至9,913万元。截至本公告日,Santos尚未发布其《2018年半年度报告》,公司结合2018年上半年的宏观经济情况、国际原油价格以及Santos公布的第一季度和第二季度经营活动报告,并全面分析Santos减值测试的各项因素,经公司财务部门初步测算2018年上半年公司对Santos的投资收益约为10,401万元至13,002万元(以Santos2018年中期报告披露的数据为准),较上年同期有大幅增长。(三)非经常性损益的影响2017年半年度公司非经常性损益为770万元;预测2018年半年度公司非经常性损益约为1,298万元。",预增,99130000.0,2018-08-02T00:00:00,化工行业,621.0,714705000.0,increase,T
600259,广晟有色,上交所主板,2018-06-30T00:00:00,-32000000,-27000000,0.84,16.33,预计2018年1-6月归属于上市公司股东的净利润亏损2700万元-3200万元。,"(一)主营业务影响:1.2018年一季度稀土产品价格略有上升,但稀土行业下游企业对稀土产品需求存在不平稳情况,二季度部分稀土产品价格再度下跌,上半年整体稀土产品价格上涨乏力,公司调整了产品销售策略;此外上年同期公司实现了国家稀土收储业务,本报告期未实现国家收储业务。以上因素导致报告期稀土产品销售量、销售收入同比下降,毛利减少;2.因二季度部分稀土产品价格下跌导致部分存货计提跌价准备,影响公司利润;3.提升运营效率,加强节流降本,期间费用同比有较大幅度下降。(二)非经营性损益的影响:2018年1-6月确认政府补助约7,100万元,比上年同期1,392万元约增加5,708万元,减少本期亏损额。综上所述,公司报告期亏损额较上年同期有所减少。",减亏,-32270000.0,2018-08-01T00:00:00,有色金属,8.585,-29500000.0,unknown,T
600516,方大炭素,上交所主板,2018-06-30T00:00:00,3125000000,3209000000,659,679,"预计2018年1-6月归属于上市公司股东的净利润盈利312,500万元-320,900万元,同比增长659%-679%。","受益于国家供给侧改革及去杠杆、去库存的调控政策,公司紧跟市场,抢抓机遇,持续强化管理,全面推进精细化管理,各项工作稳步推进,公司较去年同期营业收入大幅增长。",预增,411854124.2,2018-08-01T00:00:00,材料行业,669.0,3167000000.0,increase,T
603366,日出东方,上交所主板,2018-06-30T00:00:00,-16000000,-16000000,-121.02,-121.02,预计2018年1-6月归属于上市公司股东的净利润亏损1600万元左右。,"1.公司基于帅康电气长远发展,报告期内帅康电气在市场推广、渠道建设、研发投入、人员培养等方面投入较大。2.报告期内,非经营性损益较去年同期下降约60%,主要是理财收益减少。",首亏,76100000.0,2018-08-01T00:00:00,家电行业,-121.02,-16000000.0,reduction,T
002501,利源精制,深交所中小板,2018-06-30T00:00:00,-100000000,-75000000,-131.94,-123.96,预计2018年1-6月归属于上市公司股东的净利润亏损7500万元-10000万元。,"1、营业收入降低本期预计实现营业收入9亿元左右,较上年同期15.13亿元有较大幅度的降低。营业收入降低的主要原因是为由于沈阳利源轨道交通装备有限公司(“沈阳利源”)项目投入了大量的资金,且未预期达产并产生效益,致使公司流动资金不足,无法保证生产原料的采购供应,产品不能及时交货。2、费用大幅增加由于沈阳利源的项目建设投入大量资金,公司财务费用较上年同期增加约1.5亿元左右。",首亏,313070000.0,2018-08-01T00:00:00,有色金属,-127.95,-87500000.0,reduction,T
300152,科融环境,深交所创业板,2018-06-30T00:00:00,-41000000,-36000000,-262.02,-242.26,预计2018年1-6月归属于上市公司股东的净利润亏损3600万元-4100万元。,"(一)董事会关于业绩预告出现重大差异的具体原因说明由于武汉凯迪商业承兑汇票到期未兑付,根据会计准则规定,对个别事项重新认定,增加资产减值损失。(二)董事会对造成上述重大差异的责任人的认定情况和处理结果说明公司将严格按照《年报信息披露重大差错责任追究制度》的相关规定,对公司有关部门及其相关责任人进行责任认定,同时加强培训以提高业务人员的专业能力和业务水准,加强监督和复核工作,切实避免类似情况的再次发生。",首亏,25305400.0,2018-08-01T00:00:00,环保工程,-252.14,-38500000.0,reduction,T
600325,华发股份,上交所主板,2018-06-30T00:00:00,1194137300,1307864600,110,130,"预计2018年1-6月归属于上市公司股东的净利润盈利119413.73万元-130786.46万元,同比上年增长约110%到130%","本报告期归属于上市公司股东净利润的增长主要受以下因素综合影响:1、报告期归属于上市公司股东净利润的增长主要为本期完工交付房地产销售收入规模较上年增加所致;2、报告期内,公司联营公司实现的投资收益较上年大幅增加所致。",预增,568636800.0,2018-07-31T00:00:00,房地产,120.0,1251000950.0,increase,T
600638,新黄浦,上交所主板,2018-06-30T00:00:00,110000000,110000000,-82,-82,"预计2018年1-6月归属于上市公司股东的净利润盈利11,000万元左右,同比下降82%。","2017年6月份转让控股子公司上海鸿泰房地产有限公司30%股权,取得税后净收益6.2亿元,使得2018年上半年投资收益较去年同期减少7.26亿元,公司剩余上海鸿泰房地产有限公司25%股权尚未交割,相应利润尚未体现。",预减,618610000.0,2018-07-31T00:00:00,房地产,-82.0,110000000.0,reduction,T
600031,三一重工,上交所主板,2018-06-30T00:00:00,3248310000,3596340000,180,210,"预计2018年1-6月归属于上市公司股东的净利润盈利324,831万元-359,634万元,同比增长180%-210%。","报告期内,受下游基建需求拉动、设备更新需求增长、人工替代效应、环保驱动、公司核心竞争力进一步提升等多重因素的影响,公司挖掘机械、混凝土机械、起重机械等设备销售持续强劲增长。公司经营质量与经营效率持续大幅提升,产能利用率及产品总体盈利水平继续提高,期间费用总体费率持续下降,盈利水平同比大幅提升。",预增,1160110000.0,2018-07-31T00:00:00,机械行业,195.0,3422325000.0,increase,T
600466,蓝光发展,上交所主板,2018-06-30T00:00:00,550003600,650003600,94,129,"预计2018年1-6月归属于上市公司股东的净利润盈利55,000.36万元-65,000.36万元,同比增长94%-129%。","公司主营业务为房地产开发与经营。公司2018年半年度业绩增加的主要原因系公司经营规模的逐年扩大,使得公司房地产项目在报告期的结转收入增加;同时公司为提升房地产主业的核心竞争力,已实现了全国化的战略布局、多元化的投资模式和产品改善升级,规模效应逐步显现。",预增,283263600.0,2018-07-31T00:00:00,房地产,111.5,600003600.0,increase,T
600418,江淮汽车,上交所主板,2018-06-30T00:00:00,163689300,163689300,-53,-53,"预计2018年1-6月归属于上市公司股东的净利润盈利16368.93万元左右,同比上年下降53%左右。","归属于上市公司股东的净利润较上年同期下降53%左右,扣除非经常性损益的净利润较上年同期下降326%左右,主要系以下因素导致:(一)主营业务影响。1、因整车销量较上年同期下降8.16%左右,同时受新能源政策和产品结构的影响,主营业务收入较上年同期下降6.5%左右,主营业务成本较上年同期下降5.2%左右;2、汇率波动和融资成本上升,导致财务费用同比增加10,469万元左右。3、因应收账款、存货、专用模具等因素计提的资产减值准备较上年同期增加12,017万元左右。(二)非经常性损益影响。本期共计收到政府补助70,192.69万元,较去年同期增加53,025.72万元。",预减,344689300.0,2018-07-31T00:00:00,汽车行业,-53.0,163689300.0,reduction,T
601857,中国石油,上交所主板,2018-06-30T00:00:00,26174000000,28174000000,107,122,"预计2018年1-6月归属于上市公司股东的净利润盈利2,617,400万元-2,817,400万元,同比上年增长107%-122%","2018年上半年,全球石油市场供需基本面偏紧,国际原油平均价格同比大幅上升。面对复杂多变的经营环境,本公司坚持稳健发展方针,深化改革和创新驱动,主动适应市场变化,充分发挥上下游一体化优势,优化资源配置和生产运行,持续开展开源节流降本增效;同时,本公司原油、天然气、成品油等主要产品平均实现价格同比上升,预计实现归属于本公司股东的净利润将同比大幅增长。",预增,12674000000.0,2018-07-31T00:00:00,石油行业,114.5,27174000000.0,increase,T
